id,created_at,text,hashtags,media_url
1580569599258505216,2022-10-13 14:42:12+00:00,b'RT @betr: Yooo @DwightHoward put the famous dunk contest Superman cape to good use \xf0\x9f\xa4\xa3 https://t.co/y02Rz5R8l4',[],http://pbs.twimg.com/ext_tw_video_thumb/1580563430402134016/pu/img/xzBNK094SwYT34sU.jpg
1580543859515592705,2022-10-13 12:59:55+00:00,b'Lakers need to pull the plug and trade Russell Westbrook for their sake and for The Brodie\xe2\x80\x99s sake.\n\nHe\xe2\x80\x99s a star and needs his own team. \n\nLakers need less stars and more Pat Bev\xe2\x80\x99s.\n\n https://t.co/kktYvOsPDz',[],http://pbs.twimg.com/ext_tw_video_thumb/1580402062738788353/pu/img/6wm5iC21XyP0R1Aq.jpg
1579800117217226752,2022-10-11 11:44:33+00:00,b'Thursday https://t.co/xdQfjZ4pnf',[],http://pbs.twimg.com/ext_tw_video_thumb/1579800097604370434/pu/img/NIniQ7UBNPASe5a3.jpg
1578744832650268672,2022-10-08 13:51:14+00:00,b'I\xe2\x80\x99m respectfully knocking out the greatest striker in UFC history in 21 days. #PaulSilva https://t.co/wpJMdCJY9z',"[{'text': 'PaulSilva', 'indices': [78, 88]}]",http://pbs.twimg.com/media/FejUDtpWYAUnjSY.jpg
1578431780419272704,2022-10-07 17:07:16+00:00,b'RT @betr: Jake and Stephen A. go back-and-forth on @danawhite and UFC fighters getting only 15% of the revenue \xf0\x9f\x91\x80 https://t.co/wNAuqWQU6K',[],http://pbs.twimg.com/media/FeesYvHVUAEnVOC.jpg
1578392748876595201,2022-10-07 14:32:11+00:00,b'Draymond Green vs Deron Williams. \n\nWho wins? https://t.co/t7VAp33wIw',[],http://pbs.twimg.com/media/FeeT1psWQAI4GTr.jpg
1575587238364483584,2022-09-29 20:44:05+00:00,b'RT @betr: .@jakepaul says that @TWooodley has one of the best punches he\xe2\x80\x99s been hit with \xf0\x9f\x91\x80 https://t.co/aHCbAFnGyw',[],http://pbs.twimg.com/media/Fd2nWabXoAUnELC.jpg
1575528762657017857,2022-09-29 16:51:43+00:00,b'Boxings real top 10 pound for pound list by yours truly. https://t.co/uMQrFLXcGh',[],http://pbs.twimg.com/media/Fd1nDTJXwAEVMMI.jpg
1575132812352552966,2022-09-28 14:38:21+00:00,"b'31 days to #PaulSilva - official poster. \n\nI\xe2\x80\x99m respectfully exterminating The Spider in Phoenix Arizona, live on pay-per-view. https://t.co/UtHPZ0FHk1'","[{'text': 'PaulSilva', 'indices': [11, 21]}]",http://pbs.twimg.com/media/Fdv-8c-XkAQbBNa.jpg
1574131566917423110,2022-09-25 20:19:46+00:00,"b'Dear Floyd Mayweather, https://t.co/tr1ey22uvJ'",[],http://pbs.twimg.com/ext_tw_video_thumb/1574131183620964352/pu/img/kAXJi2p1E-CLBbgv.jpg
